Day of week,Date,distance,Time,Pace,MD,Month,Year
Saturday,9/25/2021,4.72,0:40:29,0:08:35,25-Sep,9,2021
Saturday,9/18/2021,4.93,0:43:16,0:08:46,18-Sep,9,2021
Friday,9/10/2021,4.79,0:42:07,0:08:48,10-Sep,9,2021
Monday,9/6/2021,4.96,0:43:09,0:08:42,6-Sep,9,2021
Monday,8/30/2021,4.85,0:43:23,0:08:57,30-Aug,8,2021
Saturday,8/21/2021,4.79,0:42:38,0:08:54,21-Aug,8,2021
Sunday,8/15/2021,4.92,0:43:13,0:08:47,15-Aug,8,2021
Sunday,8/8/2021,4.92,0:43:56,0:08:56,8-Aug,8,2021
Wednesday,8/4/2021,4.8,0:43:53,0:09:08,4-Aug,8,2021
Saturday,7/24/2021,4.98,0:43:24,0:08:43,24-Jul,7,2021
Thursday,7/8/2021,5.55,0:46:46,0:08:26,8-Jul,7,2021
Friday,7/2/2021,6.05,0:52:19,0:08:39,2-Jul,7,2021
Thursday,6/24/2021,6.53,0:59:52,0:09:10,24-Jun,6,2021
Tuesday,6/15/2021,4.96,0:42:08,0:08:30,15-Jun,6,2021
Saturday,6/12/2021,6.11,0:52:54,0:08:40,12-Jun,6,2021
Tuesday,6/1/2021,4.97,0:42:44,0:08:36,1-Jun,6,2021
Thursday,5/27/2021,4.72,0:41:12,0:08:43,27-May,5,2021
Tuesday,5/18/2021,4.97,0:43:10,0:08:41,18-May,5,2021
Tuesday,5/11/2021,6.11,0:52:19,0:08:34,11-May,5,2021
Tuesday,5/4/2021,4.99,0:42:26,0:08:31,4-May,5,2021
Tuesday,4/27/2021,4.98,0:42:26,0:08:31,27-Apr,4,2021
Tuesday,4/20/2021,4.97,0:42:01,0:08:27,20-Apr,4,2021
Tuesday,4/13/2021,4.86,0:41:53,0:08:37,13-Apr,4,2021
Tuesday,3/30/2021,4.96,0:42:07,0:08:29,30-Mar,3,2021
Monday,3/22/2021,4.96,0:41:43,0:08:25,22-Mar,3,2021
Wednesday,3/17/2021,4.93,0:42:03,0:08:32,17-Mar,3,2021
Tuesday,3/9/2021,4.93,0:42:13,0:08:34,9-Mar,3,2021
Wednesday,2/24/2021,4.95,0:42:23,0:08:34,24-Feb,2,2021
Tuesday,2/16/2021,4.98,0:43:25,0:08:43,16-Feb,2,2021
Saturday,2/6/2021,4.82,0:41:57,0:08:42,6-Feb,2,2021
Saturday,1/30/2021,4.98,0:42:30,0:08:32,30-Jan,1,2021
Tuesday,1/19/2021,4.82,0:42:32,0:08:49,19-Jan,1,2021
Thursday,1/14/2021,4.97,0:42:47,0:08:36,14-Jan,1,2021
Monday,1/4/2021,4.68,0:39:40,0:08:29,4-Jan,1,2021
Monday,12/28/2020,6.1,0:51:54,0:08:30,28-Dec,12,2020
Monday,12/21/2020,6.34,0:54:02,0:08:31,21-Dec,12,2020
Friday,12/11/2020,6.37,0:54:02,0:08:31,11-Dec,12,2020
