Day of week,Date,distance,pace,time,pace
Saturday,9/23/2017,4.92,8:30,41:52,0:08:30
Tuesday,9/26/2017,5.01,8:35,42:59,0:08:35
Saturday,9/30/2017,5.05,8:18,41:54,0:08:18
Sunday,10/8/2017,7.17,8:52,1:03:36,0:08:52
Wednesday,10/11/2017,4.98,8:29,42:16,0:08:29
Saturday,10/21/2017,4.82,8:26,40:42,0:08:26
Saturday,10/28/2017,4.9,8:33,42:34,0:08:33
Tuesday,10/31/2017,4.9,8:27,42:00,0:08:27
Saturday,11/4/2017,4.9,8:23,41:47,0:08:23
Wednesday,11/8/2017,4.9,8:26,42:09,0:08:26
Sunday,11/12/2017,4.9,8:23,41:47,0:08:23
Wednesday,11/15/2017,4.9,8:21,41:42,0:08:21
Tuesday,11/21/2017,4.9,8:28,42:11,0:08:28
Friday,11/24/2017,5,8:23,41:57,0:08:23
Monday,11/27/2017,4.9,8:22,41:46,0:08:22
Saturday,12/2/2017,4.9,8:20,41:33,0:08:20
Monday,12/18/2017,5.02,8:20,41:50,0:08:20
Thursday,12/21/2017,5,8:21,41:51,0:08:21
Tuesday,12/26/2017,5,8:25,42:04,0:08:25
Tuesday,1/2/2018,3.5,8:34,30:00,0:08:34
Sunday,1/14/2018,4.83,8:39,41:44,0:08:39
Monday,1/22/2018,3.52,8:18,29:11,0:08:18
Saturday,1/27/2018,5,8:14,41:11,0:08:14
Thursday,2/1/2018,3.51,8:09,28:34,0:08:09
Saturday,2/10/2018,6,8:12,49:13,0:08:12
Monday,2/12/2018,3.5,8:02,28:06,0:08:02
Friday,2/16/2018,5,8:20,41:39,0:08:20
Wednesday,2/21/2018,5.01,8:26,42:14,0:08:26
Saturday,2/24/2018,5.01,8:16,41:21,0:08:16
Tuesday,2/27/2018,5.03,8:09,40:55,0:08:09
Saturday,3/4/2018,3.3,8:09,26:51,0:08:09
Saturday,3/10/2018,3.47,8:20,28:58,0:08:20
Tuesday,3/13/2018,4.98,8:19,41:22,0:08:19
Sunday,3/18/2018,5.01,8:20,41:42,0:08:20
Tuesday,3/20/2018,3.5,8:23,29:16,0:08:23
Monday,3/26/2018,5,8:18,41:31,0:08:18
Wednesday,4/4/2018,3.49,8:14,28:44,0:08:14
Saturday,4/7/2018,3.52,8:39,30:28,0:08:39
Friday,4/13/2018,5,8:42,43:32,0:08:42
Wednesday,4/18/2018,3.51,8:09,28:36,0:08:09
Sunday,4/22/2018,4.98,8:30,42:18,0:08:30
Thursday,4/26/2018,3.54,8:12,29:04,0:08:12
Saturday,4/28/2018,4.98,8:27,42:02,0:08:27
Thursday,5/3/2018,3.5,8:24,29:21,0:08:24
Monday,5/7/2018,4.95,8:37,42:38,0:08:37
Friday,5/11/2018,3.51,8:13,28:48,0:08:13
Thursday,5/17/2018,3.51,8:28,29:41,0:08:28
Sunday,5/20/2018,4.97,8:54,44:15,0:08:54
Monday,5/28/2018,3.5,8:33,29:53,0:08:33
Monday,6/4/2018,4.96,8:39,42:55,0:08:39
Friday,6/8/2018,4.97,8:39,42:56,0:08:39
Monday,6/11/2018,3.51,8:28,29:41,0:08:28
Friday,6/15/2018,3.65,8:33,31:16,0:08:33
Thursday,6/21/2018,5,8:37,43:01,0:08:37
Wednesday,7/4/2018,4.97,8:50,43:56,0:08:50
Sunday,7/8/2018,4.98,8:36,42:50,0:08:36
Wednesday,7/11/2018,3.5,8:43,30:29,0:08:43
Friday,7/13/2018,6,8:50,53:00,0:08:50
Tuesday,7/17/2018,4.99,8:42,43:21,0:08:42
Saturday,7/21/2018,5,8:54,53:00,0:08:54
Friday,7/27/2018,4.95,8:40,42:53,0:08:40
Thursday,8/2/2018,5.02,8:43,43:41,0:08:43
Tuesday,8/7/2018,3.52,8:46,30:49,0:08:46
Thursday,8/9/2018,3.51,8:38,30:16,0:08:38
Sunday,8/12/2018,5,8:47,43:54,0:08:47
Saturday,8/18/2018,4.96,8:39,42:52,0:08:39
Thursday,8/23/2018,4.99,8:33,42:38,0:08:33
Saturday,8/25/2018,8.96,10:52,1:37:18,0:10:52
Wednesday,8/29/2018,3.46,9:02,31:17,0:09:02
Saturday,9/1/2018,4.92,9:05,44:39,0:09:05
Wednesday,9/5/2018,3.51,8:41,30:28,0:08:41
Saturday,9/8/2018,9:50,8:50,56:34,0:08:50
Wednesday,9/12/2018,3.5,8:35,30:02,0:08:35
Saturday,9/15/2018,6.44,8:49,56:47,0:08:49
Wednesday,9/19/2018,3.5,8:39,30:16,0:08:39
Saturday,9/22/2018,4.98,8:48,43:49,0:08:48
Thursday,9/27/2018,3.48,8:41,30:10,0:08:41
Monday,10/1/2018,4.98,8:47,43:40,0:08:47
Saturday,10/6/2018,4.99,8:42,43:25,0:08:42
Wednesday,10/10/2018,3.48,8:44,30:20,0:08:44
Sunday,10/14/2018,4.95,8:44,43:13,0:08:44
Wednesday,10/17/2018,3.45,8:32,29:26,0:08:32
Sunday,10/21/2018,5,8:37,43:02,0:08:37
Monday,10/29/2018,3.51,8:42,30:34,0:08:42
Wednesday,11/7/2018,3.84,8:40,33:17,0:08:40
Thursday,11/15/2018,3.31,10:16,33:56,0:10:16
Tuesday,11/20/2018,3.51,8:17,29:02,0:08:17
Sunday,11/25/2018,4.98,8:26,41:58,0:08:26
Monday,12/10/2018,3.51,8:22,29:23,0:08:22
Friday,12/14/2018,5.02,8:31,42:45,0:08:31
Friday,12/21/2018,3.5,8:35,30:03,0:08:35
Saturday,12/29/2018,4.97,8:23,41:41,0:08:23
